smiles,pKi_numeric
Br.Cc1cccc(-c2c(O)c(O)cc3c2CCN(C)CC3c2cccc(C)c2)c1,6.917214629683549
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3-c2ccc3ccccc3c2)c1,7.366531544420414
Br.Oc1cc2c(c(-c3ccc4ccccc4c3)c1O)CCNCC2c1ccccc1,6.425968732272281
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,5.689999562814496
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,5.688034339631633
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(-c5ccccc5)cc43)C[C@H]1c1ccccc1O2,6.51
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(CN5CCOCC5)cc43)C[C@H]1c1ccccc1O2,6.72
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(N5CCOCC5)cc43)C[C@H]1c1ccccc1O2,6.51
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,4.599980364934842
Brc1ccc2c3c1CCN3CCNC2,6.522878745280337
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,5.045757490560675
C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,5.096910013008056
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,4.552841968657781
C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1,4.853871964321762
C#CCN(C)Cc1ccc(OCCCCCN2CCN(c3cccc4c3ccn4S(=O)(=O)c3ccccc3)CC2)cc1,6.376750709602099
C#CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,6.422508200162774
C#CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2,5.983802646487561
C#CCOc1c(OC)cc2c3c1-c1cc(NC(C)=O)ccc1CC3N(C)CC2,5.895512888687605
C#CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,6.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,5.6
C#Cc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,5.18
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.99
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1,7.111820506081675
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1,7.911509529817604
C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,7.642065152999546
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,6.010995384301463
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,6.009998764965339
C1=C(CCN2CCc3ccccc3C2)Cc2ccccc21,5.728855682050922
C1=C(CCN2CCc3ccccc3C2)Cc2ccccc21,5.7299993321845495
C1=C(c2c(-c3ccccc3)[nH]c3ccccc23)CCNC1,7.3
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccccc2)C1,6.903089986991944
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccco2)C1,6.761953896871205
C1=CC2CNCCN3C[C@@H]4CCC[C@@H]4C(=C1)C23,6.826813731587726
